id,ElementProperty|MagpieData maximum MendeleevNumber,AtomicOrbitals|HOMO_character,BandCenter|band center,ElementProperty|MagpieData mode NsValence,ElementProperty|MagpieData avg_dev NValence,YangSolidSolution|Yang delta,AtomicOrbitals|gap_AO,ElementProperty|MagpieData mean MendeleevNumber,YangSolidSolution|Yang omega,ElementProperty|MagpieData range NUnfilled,ElementProperty|MagpieData range Electronegativity,ElementProperty|MagpieData mean AtomicWeight,ValenceOrbital|avg d valence electrons,ElementProperty|MagpieData range MendeleevNumber,ValenceOrbital|frac f valence electrons,hull_distance
8397402,73,3,-1.99066757562781,1,1.44,0.212789304679212,0.0,63.4,0.857647401287833,1,0.55,48.10470772,2.0,23,0.0,
9380175,73,1,-2.03418843544091,1,2.88,0.200159611154652,0.0,67.0,0.675408211873564,2,0.67,50.88290772,3.2,14,0.0,
1735482,73,3,-2.00533214037694,1,2.4,0.203555222517664,0.0,65.8,0.861447518501113,1,0.59,50.14870772,2.8,17,0.0,
3092751,73,3,-2.06244342089425,2,8.16,0.205321731788082,0.0,63.8,1.11512348926255,1,0.75,83.25670772,1.6,22,0.571428571428571,
2198367,73,1,-1.88313034577772,2,2.88,0.190002022649909,0.0,66.6,0.749876200656029,2,0.43,33.29398572,2.8,15,0.0,
7126859,73,2,-1.79168013027434,1,1.44,0.196964612064823,0.0,63.0,0.760535662172526,1,0.43,30.51914772,2.0,24,0.0,
4123795,73,1,-1.86293489685805,2,2.4,0.190002022649909,0.0,65.4,0.804970246528939,1,0.43,32.05870772,2.4,18,0.0,
2453071,73,1,-1.89509326894747,2,3.36,0.191265628968897,0.0,67.8,0.711473930430316,3,0.43,33.19806772,3.2,12,0.0,
1279568,73,3,-1.89111823607792,2,1.92,0.207130730050934,0.0,64.6,0.821419744826727,0,0.43,48.92070772,2.0,20,0.0,
1056832,73,3,-1.77865731966268,2,0.96,0.203555222517664,0.0,61.8,0.547914574499593,2,0.43,30.09730772,1.2,27,0.0,
7548206,84,2,-2.16131120243911,1,3.84,0.178187175712809,0.0,69.2,0.878773636702086,2,0.24,60.47092,5.2,25,0.0,
9706385,84,2,-2.13065158767774,1,3.52,0.184561293402918,0.0,68.0,1.15957534907458,2,0.16,59.73672,4.8,28,0.0,
6703951,84,3,-2.19133192988063,2,7.36,0.187750550694611,0.0,66.0,1.18403184734597,3,0.32,92.84472,3.6,33,0.459016393442623,
5693807,84,3,-2.11507058863213,1,3.36,0.200490193411229,0.0,65.6,0.85765269823396,3,0.14,57.69272,4.0,34,0.0,
9245670,81,3,-2.14340752771899,1,7.52,0.264762521262011,0.0,65.0,15.195911322684,2,0.29,84.1484,4.0,31,0.304347826086956,
9605831,83,3,-2.1170074697076,1,1.28,0.209236908423423,0.0,65.4,0.489509462814792,3,0.15,48.9031524,2.0,33,0.0,
2541903,88,3,-2.18754758380055,1,1.44,0.208181128439005,0.0,66.4,19078454.2565923,4,0.54,49.1214,2.0,38,0.0,
6895471,81,3,-2.22069059041416,2,9.44,0.263402454957875,0.0,65.4,4.0907816652663,2,0.32,119.3004,3.6,30,0.567567567567568,
4692830,83,2,-2.16329042847001,1,2.56,0.18391049142992,0.0,69.0,0.619117358097741,2,0.24,51.6813524,3.2,24,0.0,
4976231,83,2,-2.13260273709127,1,2.08,0.191249486918778,0.0,67.8,0.718746967732753,2,0.16,50.9471524,2.8,27,0.0,
1059674,83,3,-2.19333864746626,2,7.84,0.194888460581358,0.0,65.8,0.629539703883155,3,0.32,84.0551524,1.6,32,0.549019607843137,
3254689,81,1,-2.19026765629007,1,7.04,0.262937277792971,0.0,68.6,3.82563274073974,2,0.29,86.9266,5.2,22,0.269230769230769,
2096537,88,3,-2.23537272190732,1,2.4,0.183016696114988,0.0,70.0,16766522.4420708,3,0.54,51.8996,3.2,29,0.0,
7819360,81,3,-2.15919727526842,1,7.2,0.263192564548187,0.057541,67.4,8.23075196761442,1,0.29,86.1924,4.8,25,0.28,
5183609,88,3,-2.20366249599242,1,2.08,0.190303673560118,0.0,68.8,18064572.1710131,3,0.54,51.1654,2.8,32,0.0,
6971305,88,3,-2.26642216778946,2,7.68,0.193918507395057,0.0,66.8,21881540.0226054,4,0.54,84.2734,1.6,37,0.538461538461538,
2465970,72,3,-2.01006873420435,1,2.4,0.234756787323376,0.0,62.8,2.24994880303402,6,0.47,65.1906,4.0,22,0.0,
5749680,72,1,-2.05401375077419,1,3.36,0.2279288267092,0.0496039999999999,66.4,1.24474025026835,5,0.59,67.9688,5.2,13,0.0,
2487590,72,3,-2.02487622062942,1,3.04,0.229617304492512,0.006147,65.2,2.21462446786476,5,0.51,67.2346,4.8,16,0.0,
3891520,72,3,-2.08254411091091,2,6.88,0.230543921141055,0.0,63.2,4.34426629379436,6,0.67,100.3426,3.6,21,0.482758620689655,
2836405,72,1,-1.90148344044105,2,3.36,0.223945679042768,0.0,66.0,1.6683469942021,5,0.35,50.379878,4.8,14,0.0,
6491783,72,3,-1.88109116553606,2,3.04,0.223945679042768,0.090821,64.8,2.220612859965,5,0.35,49.1446,4.4,17,0.0,
2931756,72,1,-1.91356295493539,2,3.68,0.22431623524546,0.006536,67.2,1.45283431872815,5,0.35,50.28396,5.2,11,0.0,
6982735,72,3,-1.90954918117108,2,2.72,0.231522992329165,0.0,64.0,2.06073109354732,5,0.35,66.0066,4.0,19,0.0,
2018563,84,1,-2.00081302256555,2,3.84,0.15612386257877,0.0,68.8,0.912495443200985,2,0.3,42.881998,4.8,26,0.0,
6175483,81,1,-2.02761918073793,2,7.04,0.263891812849298,0.0,68.2,48.4170904406781,2,0.45,69.337678,4.8,23,0.269230769230769,
1923504,83,2,-2.00264527199485,2,2.56,0.157618547511842,0.0,68.6,0.564627592175083,2,0.31,34.0924304,2.8,25,0.0,
5197243,88,2,-2.0693747606696,2,2.4,0.156956739165573,0.0,69.6,15121156.7045738,3,0.7,34.310678,2.8,30,0.0,
3582067,79,1,-1.96858611764006,2,3.68,0.155709800070947,0.0,67.8,0.739503065292786,2,0.16,42.425678,4.8,21,0.0,
6039182,78,1,-1.94655162779233,2,2.72,0.154906931004829,0.0,67.6,0.543722772862253,2,0.16,33.514778,2.8,20,0.0,
